title,author,genre,total_likes,status,scrape_date
Nomads,Captain Juuter,Fantasy,571019,hiatus,2022-12-27
"Good Luck, Hero! ",Song Hyunju,Fantasy,286564,hiatus,2022-12-27
Third Shift Society,Meredith Moriarty,Supernatural,1500000,hiatus,2022-12-27
Beyond Virtual,EGA,Drama,484527,hiatus,2022-12-27
Athena Complex,Kaisar,Fantasy,3000000,hiatus,2022-12-27
Little Rain,Mai,Romance,678262,hiatus,2022-12-27
Version Day and Night,dewkneelight,Drama,1200000,hiatus,2022-12-27
Divorcing My Tyrant Husband,Oh Youn Ha / Josara,Romance,160405,ongoing,2022-12-27
Daybreak,Moosopp,Slice of life,1900000,ongoing,2022-12-27
The Kiss Bet,Ingrid Ochoa,Romance,11800000,ongoing,2022-12-27
Wished You Were Dead,SEOCHEONG / ARAN,Drama,3100000,ongoing,2022-12-27
Your Throne,SAM,Fantasy,13100000,ongoing,2022-12-27
Like Wind on a Dry Branch,Dalsaeowl / Hwaeum,Fantasy,8800000,ongoing,2022-12-27
Sixth Sense Kiss,Got W / Jocobong,Romance,5100000,ongoing,2022-12-27
For My Derelict Favorite,Kim Seonyu / Ryuho,Romance,870748,ongoing,2022-12-27
+99 Reinforced Wooden Stick,HONGSIL / JIPERY,Comedy,783276,ongoing,2022-12-27
Return to Player,UMKY / SEHON,Action,3300000,ongoing,2022-12-27
His Majesty's Proposal,Bloomy / INUS,Fantasy,4000000,ongoing,2022-12-27
She's Hopeless,Seokwoo,Drama,4600000,ongoing,2022-12-27
I Get Stronger the More I Eat,Kitaeon / Frost Mourne,Action,1700000,ongoing,2022-12-27
Trash Belongs in the Trash Can!,EDDiERiNG,Romance,1200000,ongoing,2022-12-27
Adventures of God,Teo / Corey,Comedy,29000000,ongoing,2022-12-27
To You Who Doesn’t Love Me,Yeonseo / Bbada,Fantasy,91464,ongoing,2022-12-27
Bluechair,Shen,Slice of life,43500000,ongoing,2022-12-27
The Strongest Florist,Hyun hoo Joo / Kumtata,Action,4000000,ongoing,2022-12-27
The Academy's Undercover Professor,sayren / Tana,Fantasy,320039,ongoing,2022-12-27
BlackSun,Play / Miin,Action,108544,ongoing,2022-12-27
Another Love ,I SOON KI / DDOGAK,Romance,1000000,ongoing,2022-12-27
Long After the Ending,Dorae / Wonderdream,Romance,801614,ongoing,2022-12-27
Skullgirls,Mike Exner III / Wiirdo / Pasteldot,Action,86468,ongoing,2022-12-27
The Blood of the Butterfly,Remin,Fantasy,1600000,ongoing,2022-12-27
