title,author,genre,day,total_likes,status,scrape_date
Shadow Bride,Sae In Lee / Soo Bean Lim,Romance,Thursday,1900000,ongoing,2023-01-09
Little Lady Mint,Yoon Oh / gomok,Fantasy,Thursday,531497,ongoing,2023-01-09
The Double Agent,Hayeon / Charles,Historical,Thursday,1000000,ongoing,2023-01-09
Pyramid Game,Dalgonyak,Drama,Thursday,2100000,ongoing,2023-01-09
Welfare Center ,NANA,Thriller,Thursday,126145,ongoing,2023-01-09
"Take Me, I'm Yours",RoseBean / One Punch Rabbit,Drama,Thursday,818310,ongoing,2023-01-09
God Tribe,Agu_JUNU / SEOPASS,Fantasy,Thursday,244466,ongoing,2023-01-09
Ultra-Alternate Character,JIXKSEE,Action,Thursday,710625,ongoing,2023-01-09
Gates of Hell,Dennis Culver / Yuki Saeki,Thriller,Thursday,98577,ongoing,2023-01-09
Cloud Walker,kariyeen,Action,Thursday,653044,ongoing,2023-01-09
Infinity,two5,Sports,Thursday,343782,ongoing,2023-01-09
"Answer Me, My Prince",Teava / Jjunya,Romance,Thursday,173467,ongoing,2023-01-09
Threads of Love,HAN KIJOO / 1,Romance,Thursday,855713,ongoing,2023-01-09
The Last Golden Child,Alkkae / Saemong,Action,Thursday,523477,ongoing,2023-01-09
Just Pancakes,HadeToons,Comedy,Thursday,2700000,ongoing,2023-01-09
Ghost King,SON GOHOO / PARK JINSEOK,Action,Thursday,257021,ongoing,2023-01-09
My Guardian Demon,Han SeRam / Su Ja,Romance,Thursday,50661,ongoing,2023-01-09
The Most Ordinary Girl,Chogori,Romance,Thursday,326092,ongoing,2023-01-09
Vibe Check!,Ucheomaaa,Comedy,Thursday,520050,ongoing,2023-01-09
Prince Maker,Suosu,Fantasy,Thursday,573106,ongoing,2023-01-09
To-Do List,RYO. / FLEWing,Romance,Thursday,15734,ongoing,2023-01-09
A Man's Man,Dogado / Lucas,Drama,Thursday,604760,ongoing,2023-01-09
Miez,Hiseki,Sci-fi,Thursday,136259,ongoing,2023-01-09
King of the East,Lee Dani / Shin Jiwoo,Action,Thursday,168940,ongoing,2023-01-09
Roach,NOWONE / RIGHT HAND,Horror,Thursday,144687,ongoing,2023-01-09
Do You Remember,Mallowboo,Mystery,Thursday,74307,ongoing,2023-01-09
Gecko Chan,Meritxell Garcia,Comedy,Thursday,515105,ongoing,2023-01-09
Simon Sues,Myung Hee,Supernatural,Thursday,577971,hiatus,2023-01-09
Discovering Love: A Harlequin Romance Collection,Various Artists,Romance,Thursday,154673,ongoing,2023-01-09
Not an Angel,Castella / Pyoryu,Comedy,Thursday,150230,ongoing,2023-01-09
City of Blank,66,Sci-fi,Thursday,4900000,hiatus,2023-01-09
Lily Crown,Diggymungo,Action,Thursday,282954,hiatus,2023-01-09
Eaternal Nocturnal,instantmiso,Romance,Thursday,5200000,hiatus,2023-01-09
Console Her,AICandii,Romance,Thursday,207837,hiatus,2023-01-09
Jungle Juice,Hyeong Eun / JUDER,Action,Thursday,6100000,hiatus,2023-01-09
Maid for Hire,demonicblackcat / Erry Juhana,Romance,Thursday,1900000,hiatus,2023-01-09
The Princess's Jewels,JYUN / Hong Cha,Fantasy,Thursday,1900000,hiatus,2023-01-09
Parallel City,Goda,Mystery,Thursday,3000000,hiatus,2023-01-09
Kind of Confidential,Vivian Darlin,Romance,Thursday,4500000,hiatus,2023-01-09
The Red King,Heylenne,Supernatural,Thursday,2700000,hiatus,2023-01-09
Lalin's Curse,Isakytm,Supernatural,Thursday,3200000,hiatus,2023-01-09
Maybe Meant to Be,honeyskein / damcho,Romance,Friday,4300000,ongoing,2023-01-09
Operation: True Love,kkokkalee / Dledumb,Romance,Friday,3100000,ongoing,2023-01-09
The Guy Upstairs,Hanza Art,Thriller,Friday,1400000,ongoing,2023-01-09
I Love Yoo,Quimchee,Drama,Friday,34700000,ongoing,2023-01-09
The World After the Fall ,singNsong / S-Cynan,Action,Friday,1700000,ongoing,2023-01-09
Vampire Husband,Scragony,Slice of life,Friday,639322,ongoing,2023-01-09
Be My Villain,mintibi,Romance,Friday,2500000,ongoing,2023-01-09
My Giant Nerd Boyfriend,fishball,Slice of life,Friday,62800000,hiatus,2023-01-09
1HP Club,elfboi,Fantasy,Friday,4300000,ongoing,2023-01-09
Nevermore,Kate Flynn / Kit Trace,Supernatural,Friday,1700000,ongoing,2023-01-09
Extraordinary Attorney Woo,Yuil / HwaUmJo,Drama,Friday,123232,ongoing,2023-01-09
Bitten Contract,sungeun,Romance,Friday,1900000,ongoing,2023-01-09
Brimstone and Roses,Speremint,Romance,Friday,4300000,hiatus,2023-01-09
The Gamer,Sangyoung Seong / Sang-A,Action,Friday,20200000,ongoing,2023-01-09
Immortal Weakling,Yaruno / Civen,Superhero,Friday,352213,hiatus,2023-01-09
So I Married the Anti-Fan,Jaerim / Eunjeong Kim,Romance,Friday,3100000,ongoing,2023-01-09
Reborn Rich,SK / JP,Drama,Friday,119877,ongoing,2023-01-09
Romance 101,Namsoo,Romance,Friday,8100000,ongoing,2023-01-09
Rooftops & Roommates,Zaanart,Comedy,Friday,4800000,ongoing,2023-01-09
Lost in Translation,Jjolee,Drama,Friday,7100000,ongoing,2023-01-09
To My First Love,Lise / Songjoo Yoo,Romance,Friday,45384,ongoing,2023-01-09
Forever After,Hannah Patten / Violet Matter,Fantasy,Friday,2600000,hiatus,2023-01-09
Murim RPG Simulation,Hyung Geun Cho / Kwang Hwi,Action,Friday,720150,ongoing,2023-01-09
Ordeal,Brent Bristol,Action,Friday,900209,ongoing,2023-01-09
